Region,Site,Area,Note,Locus ID,Original Sort Order,Locus/Wall,Number,Square,Phase,Contextual Integrity (I) Code,Contextual Integrity (I),Phasing of Contents (PoC),Comments,Context,Chapter,Status
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9010,11,Locus,9010,AJ/33,1b/2?,d,disturbed,⪰2,Topsoil down to fragment of F9104 (AJ/34). Originally reached W9041?? Disturbed by Robber Trench of W9003 (Blob) and W9015,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9011,12,Locus,9011,,,,,,Cancelled,,,Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9012,13,Locus,9012,AJ/32,1(a?/b?),--,--,⪰1,Topsoil to F9012 kurkar surface. Either bedding for Phase 1a pavement or an independent 1b floor =AJ/33 F9008,--," Dor IIIA: 12, 13",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9013,14,Locus,9013,AI/31,⪰1,n,non-stratified,⪰1,Topsoil,--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9014,15,Locus,9014,AJ/33,≻1,d,disturbed,≻1a,Robber Trench of Blob W9003 and W9015,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AJ–AK:32–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9015,16,Wall,9015,AJ–AK/33,1b,--,--,--,Stylobate for colonnade,--," Dor IIIA: 5, 7, 9, 10, 13, 14, 15, 16",Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9016,17,Locus,9016,AJ/33,1/2?,d,disturbed,⪰2,Robber Trench of W9041,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9017,18,Locus,9017,AJ/33,1/2?,d,disturbed,2,Makeup of F9010; exposure too limited,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9018,19,Locus,9018,AJ/32,1(a?/b?),n,non-stratified,1,"Stone-lined pit, cutting/dug from F9012",--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9019,20,Wall,9019,AJ/32,2,--,--,--,Header wall,--," Dor IIIA: 9, 11, 12, 13",Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9020,21,Locus,9020,AJ/33,1/2?,d,disturbed,⪰2,Robber Trench of W9041,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9021,22,Locus,9021,AI/31,1b,d,disturbed,1–6/7?,Part of Disturbance 9100 (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 = L9877 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9022,23,Locus,9022,AI/31,1b,d,disturbed,1–6/7?,Part of Disturbance 9100 (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 = L9877 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9023,24,Locus,9023,AI/31,1a,--,--,--,Small Roman drain,--," Dor IIIA: 7, 8",Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9024,25,Locus,9024,AJ/33,1b/3??,s,sealed,1–2–3,Makeup of F9009 down to a floor fragment reaching “pedestal” W9040,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9025,26,Locus,9025,AI/31–32,1a,u,unsealed,1a,"Large north–south Roman drain made of cement plastered ashlars, south of Roman Drain 9111",Drains," Dor IIIA: 5, 7, 8, 9, 11, 13",Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9026,27,Locus,9026,AJ/32,2,s,sealed,2,Floor makeup of F9012 and fill below,9026, Dor IIIA: 12,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9027,28,Locus,9027,AJ/32,2,s,sealed,2,Continuation of L9026 and accumulation down to F9027 = AJ/33 L9024,9026, Dor IIIA: 12,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9028,29,Locus,9028,AI/31,1b,d,disturbed,1–6/7?,Part of Disturbance 9100 (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 = L9877 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9029,30,Locus,9029,AI/31,1b,d,disturbed,1–6/7?,Part of Disturbance 9100 (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 = L9877 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9030,31,Locus,9030,AJ/33,≻1,d,disturbed,≻1a,Robber Trench of Blob W9003 and W9015,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9031,32,Locus,9031,AJ/33,4–6?,d?,possibly disturbed,4–6?,Iron Age fill contaminated by [undetected] Pits 9168 and 9042 material in between ,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9032,33,Locus,9032,AJ/32,3,u,unsealed,3,Makeup under patchy F9027,--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9033,34,Locus,9033,AJ/32,3,s,sealed,3,Makeup below F9027,9033, Dor IIIA: 12,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9034,35,Locus,9034,AI/31,1b,d,disturbed,1–6/7?,Part of Disturbance 9100 (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 = L9877 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9035,36,Locus,9035,AI/31,1b,d,disturbed,1–6/7?,Part of Disturbance 9100 (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 = L9877 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9036,37,Locus,9036,AJ/32,3,u,unsealed,3,Fill under F9027 and unsealed L9032,--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9037,38,Locus,9037,AJ/32,3? + 4?,d,disturbed,3–4,Mixed deposit: Persian Pits + Phase 3 constructional fills? Disturbed by “Ilan's Sump” (9048),--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9038,39,Locus,9038,AI/31,1b,d,disturbed,1–6/7?,Lens within Roman disturbance? Part of Disturbance 9100 (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 = L9877 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9039,40,Locus,9039,AI/31,1b,d,disturbed,1–6/7?,Part of Disturbance 9100 (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 = L9877 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AJ–AK:32–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9040,41,Wall,9040,AJ–AK/33,1b / 3??,--,--,--,Square ashlar “pedestal” abutted to W9015 (or else in front of “Pia's Building”) = W9345b in AK33,--," Dor IIIA: 12, 13",Not Final
Israel,Tel Dor,AJ–AK:32–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9041,42,Wall,9041,AJ–AK/33–34,2,--,--,--,Ashlar (lying headers) wall. Straddles W9147 & W9510 (“Pia's Building”),--," Dor IIIA: 7, 9, 12, 13, 14, 15",Not Final
Israel,Tel Dor,AJ–AK:32–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9042,43,Locus,9042,AJ–AK/32–33,4,u,unsealed,4,Pit 9042 (L9042 = L9512 in AK33) partly under Robber Trench of W9510,Pit 9042, Dor IIIA: 13,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9043,44,Locus,9043,AJ/33,⪰4,u,unsealed,⪰4,"Pit 9168 (L9168 = L9043 = L9067 = L9291). Partly under W9003, cuts W9140, W9262 & W9400.",Pit 9168, Dor IIIA: 13,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9044,45,Locus,9044,AI/31,4,d,disturbed,1–6/7?,Fill disturbed by Disturbance 9100; comes down on cobble Phase 4 F9046 = F9044,--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9045,46,Locus,9045,AI/31,1b,d,disturbed,1–6/7?,Part of Disturbance 9100 (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 = L9877 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9046,47,Locus,9046,AI/31,4,d,disturbed,1–6/7?,Fill disturbed by Disturbance 9100; comes down on cobble Phase 4 F9046 = F9044,--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9047,48,Wall,9047,AI/31,3/2??,--,--,--,Ashlar pier,--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9048,49,Locus,9048,AJ/32,2,u,unsealed,2,“Ilan's Sump” 9048 (L9048 = W(?)9080 = W9090 = W9258 in AI/32 = W9420 = L9083 = L9421 = L9257 in AI/32),--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9049,50,Locus,9049,AJ/32,4,u,unsealed,4,Pit 9049 (L9049 = L9064 = L9059 = L9139 = L9378 = L9414 = L9475 = L9891 = L9900 =? L9977),Pit 9049, Dor IIIA: 12,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9050,51,Locus,9050,AI/31,1b,d,disturbed,1–6/7?,Part of Disturbance 9100 (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 = L9877 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9051,52,Wall,9051,AI/31–33,3,--,--,--,Pier-and-rubble wall,--," Dor IIIA: 5, 7, 8, 9, 10",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9052,53,Wall,9052,AI/31,3,--,--,--,Ashlar pier section in pier and rubble W9058,--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9053,54,Wall,9053,AI/31,3,--,--,--,Rubble wall section in pier and rubble W9058,--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9054,55,Locus,9054,AI/31,3,d,disturbed,1–6/7?,Rubble drain,--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9055,56,Locus,9055,AI/31,1b,d,disturbed,1–6/7?,Part of Disturbance 9100 (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 = L9877 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9056,57,Locus,9056,AI/31,6,d,disturbed,1–6/7?,"Clearing last part of Disturbance 9100, down to an Iron Age floor (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 =? L9877 are all part of Disturbance 9100 in AI/31 – 32) ",--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9057,59,Locus,9057,AI/31,2?/3?,d,disturbed,⪰3,Rubble on F9046,--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9058,60,Wall,9058,AI/31,3,--,--,--,Ashlar pier section in pier and rubble W9058,--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9059,61,Locus,9059,AJ/32,4,u,unsealed,4,Crushed murex and pottery in pit; part of Pit 9049 (L9049 = L9064 = L9059 = L9139 = L9378 = L9414 = L9475 = L9891 = L9900 =? L9977),Pit 9049, Dor IIIA: 12,Not Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9060,62,Wall,9060,AK/31,2,--,--,--,Wall of kurkar headers running north–south,--," Dor IIIA: 9, 11, 12",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9061,63,Locus,9061,AI/31,--,--,--,--,Not excavated. Opened as part of 9627,--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9062,64,Locus,9062,AI/31,4,d,disturbed,4/3?,Pit 9062 (L9062 = L9659 = L9672 = L18318),Pit 9062, Dor IIIA: 7,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9063,65,Locus,9063,AI/31,1b,d,disturbed,1–6/7?,Part of Disturbance 9100 (L9021 = L9022 = L9028 = L9029 = L9034 = L9035 = L9038 = L9039 = L9045 = L9050 = L9055 = L9056 = L9063 = L9877 are all part of Disturbance 9100 in AI/32),--, Dor IIIA: 7,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9064,66,Locus,9064,AJ/32,4,u,unsealed,4,Pit 9049 (L9049 = L9064 = L9059 = L9139 = L9378 = L9414 = L9475 = L9891 = L9900 =? L9977),Pit 9049, Dor IIIA: 12,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9065,67,Wall,9065,AJ/32–33,6,--,--,--,"Fieldstone wall, bonded with W9066, floats over W9400",--, Dor IIA: 14,Final
Israel,Tel Dor,AJ–AK:32–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9066,68,Wall,9066,AJ–AK/33,6,--,--,--,"Fieldstone wall, abuts W9140(N) and partly sits on W9400",--," Dor IIA: 14, 15",Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9067,69,Locus,9067,AJ/33,⪰4,u,unsealed,⪰4,Part of Pit 9168 (L9168 = L9043 = L9067 = L9291). Unexcavated,Pit 9168, Dor IIIA: 13,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9068,70,Wall,9068,AI/31,3,--,--,--,Ashlar pier section in pier and rubble W9058,--, Dor IIIA: 7,Not Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9069,71,Locus,9069,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9070,72,Locus,9070,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9071,73,Locus,9071,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9072,74,Locus,9072,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9073,75,Locus,9073,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9074,76,Locus,9074,,,,,,Not used,,,Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9075,77,Locus,9075,AK/32,⪰1,n,non-stratified,⪰1,Topsoil,--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9076,78,Locus,9076,AJ/34,⪰1a,n,non-stratified,⪰1a,Topsoil,--, Dor IIIA: 14,Not Final
