File ID,Illustration,Chp,Part Number,Caption,DB ID,FileName,FileType,Error in print
Figure 2.17,Figure,2,17,"Fig. 2.17. An artist’s view of the metal-working area and activities in the courtyard of the Phase 10c house. (1) Scrap metal (copper and/or bronze) is broken to pieces in order to fit into small clay crucibles. (2) A full crucible is placed with fuel in a dug-out firing pit. (3) A firing pit might be covered with more fuel, lit, and a clay bellows with an animal-hide covering is connected to the pit with a wooden (?) pipe and clay tuyère in order to feed the fire and raise its temperature to ca. 1300°C. (4) A crucible with molten metal is removed from the pit. (5) A clay oven/furnace can serve instead of a firing pit; note the hole for the tuyère. (6) A stone installation of unknown function. (7) A pit with animal bones, which may have been used for fuel and/or for deoxidizing the copper (unclear if the pit is associated with this complex or dug from the phase above). (8) Conjectural reconstruction of molten bronze being poured into molds to form new objects (although no molds were actually found). Drawing: V. Damov. (d10Z3-1126)",d10Z3-1126,d10Z3-1126.tif,tif,
Figure 2.18,Figure,2,18,"Fig. 2.18. Phase 10 furnace/oven in AI/32, looking north. (p08Z3-1277)",p08Z3-1277,p08Z3-1277.tif,tif,
Figure 2.19,Figure,2,19,"Fig. 2.19. Right: installation 18275; left: clay installation 18298, and a patchy ash surface between them, looking south (=Fig. 9.65). (p05Z3-0258)",p05Z3-0258,p05Z3-0258.tif,tif,
Figure 2.20,Figure,2,20,"Fig. 2.20. Temporary balk between AI/31 and AI/32, looking south, showing dense lamination of ashy and sandy layers associated with metal working. Center: two fire pits (=Fig. 9.70). (p05Z3-0632)",p05Z3-0632,p05Z3-0632.tif,tif,
Figure 2.21,Figure,2,21,"Fig. 2.21. Bones from Pit L18347 as found during excavation of L18243, looking north (=Fig. 9.62). (p05Z3-0621)",p05Z3-0621,p05Z3-0621.tif,tif,
Figure 2.22,Figure,2,22,"Fig. 2.22. Plan of the Phase 9 house, with rooms and possible access ways. (d09Z3-1447)",d09Z3-1447,d09Z3-1447.tif,tif,
Figure 2.23,Figure,2,23,Fig. 2.23. Unjustified access-analysis graph for the Phase 9 house. (d09Z3-1291),d09Z3-1291,d09Z3-1291.tif,tif,
Figure 2.24,Figure,2,24,Fig. 2.24. Justified access-analysis graph for the Phase 9 house. (d09Z3-1292),d09Z3-1292,d09Z3-1292.tif,tif,
Figure 2.25,Figure,2,25,"Fig. 2.25. Diagram showing how the placement of doorways affects the access graph (cf., Hillier and Hanson 1984: Fig. 93). The prototype is the classic Iron Age four-room house ground-plan – b: the access plan as usually reconstructed. (d09Z3-1293)",d09Z3-1293,d09Z3-1293.tif,tif,
Figure 2.26,Figure,2,26,"Fig. 2.26. Collapsed debris tumbled against installation 9982 (on right), looking north. Center and left: fallen stones and mudbrick below three layers of fallen ceiling material (=Fig. 9.39). (p05Z3-0610)",p05Z3-0610,p05Z3-0610.tif,tif,
Figure 2.27,Figure,2,27,"Fig. 2.27. Two simple diagrams of lighting strategies for a grid of square cells. The generating rule: every roofed area (shaded cell) must share a wall with at least one open-air cell (unshaded). In case a, the open-air cells are external to the buildings (contiguous blocks of shaded cells), while in case b, the open-air cells are almost entirely internal. (d09Z3-1294)",d09Z3-1294,d09Z3-1294.tif,tif,
Figure 2.28,Figure,2,28,Fig. 2.28. Three possible reconstructions of a lighting/ventilation schemes for the Phase 9 house. (d09Z3-1295),d09Z3-1295,d09Z3-1295.tif,tif,
Figure 2.29,Figure,2,29,"Fig. 2.29. Phase 9 trough-installation 9982 with bin 9805 and pavement F18087 to its left, looking north. Right: unpaved part of courtyard with “tripod” installation. Traces of fire clearly seen on both floor and installation. (p08Z3-1010)",p08Z3-1010,p08Z3-1010.tif,tif,
Figure 2.30,Figure,2,30,Fig. 2.30. a: The conceptual grid along which most walls and spaces in the house are aligned; b: Superposition of Phases 9–6 walls imposed on the grid. See Fig. 2.1 for key to phases. (d09Z3-1297),d09Z3-1297,d09Z3-1297.tif,tif,
Figure 2.31,Figure,2,31,Fig. 2.31. Diagram contrasting a grid-oriented (left) vs. non-grid-oriented (right) plan for a courtyard house. (d09Z3-1298),d09Z3-1298,d09Z3-1298.tif,tif,
Figure 2.32,Figure,2,32,"Fig. 2.32. Megiddo, Building 3024, Area BB, Stratum IX (based on Loud 1948: Figs. 242, 401). (d09Z3-1299)",d09Z3-1299,d09Z3-1299.tif,tif,
Figure 2.33,Figure,2,33,"Fig. 2.33. Megiddo, Building 2158, Area BB, Stratum VIII (based on Loud 1948: Figs. 246, 402). (d09Z3-1300)",d09Z3-1300,d09Z3-1300.tif,tif,
Figure 2.34,Figure,2,34,"Fig. 2.34. Megiddo, Building 00/K/10, Area K, Level K-4 = Stratum VIA (based on Finkelstein, Ussishkin and Halpern 2000: Fig. 7.7). (d09Z3-1301)",d09Z3-1301,d09Z3-1301.tif,tif,
Figure 2.35,Figure,2,35,"Fig. 2.35. Megiddo, Buildings 2081, 2102, 2112 in Area AA, Stratum VA (based on Loud 1948: Fig. 100, 388). (d09Z3-1302)",d09Z3-1302,d09Z3-1302.tif,tif,
Figure 2.36,Figure,2,36,"Fig. 2.36. Hazor, Building 6215 in Area C, Stratum 1, LBII (based on Yadin et al. 1960: Pl. CCVIII). (d09Z3-1303)",d09Z3-1303,d09Z3-1303.tif,tif,
Figure 2.37,Figure,2,37,"Fig. 2.37. Tel Yin  ̔am, Building 1, Stratum XIII, LBII (based on Liebowitz 2003: Plans 3.1, 3.3). (d09Z3-1304)",d09Z3-1304,d09Z3-1304.tif,tif,
Figure 2.38,Figure,2,38,"Fig. 2.38. Tel Masos, Building 314, Stratum II, Ir1|2 (based on Fritz and Kempinski 1983: Plan 14). (d09Z3-1305)",d09Z3-1305,d09Z3-1305.tif,tif,
Figure 2.39,Figure,2,39,"Fig. 2.39. Tel Masos, Building 410, Stratum II, Ir1|2 (based on Fritz and Kempinski 1983: Plan 18). (d09Z3-1306)",d09Z3-1306,d09Z3-1306.tif,tif,
Figure 2.40,Figure,2,40,"Fig. 2.40. Tel Masos, Building 480, Stratum II, Ir1|2 (based on Fritz and Kempinski 1983: Plan 18). (d09Z3-1307)",d09Z3-1307,d09Z3-1307.tif,tif,
Figure 2.41,Figure,2,41,"Fig. 2.41. Gezer, Field VI, reconstruction of the Northeast House in local Stratum 5B (based on Dever, Lance and Bullard 1986: Fig. 16). (d09Z3-1308 )",d09Z3-1308,d09Z3-1308.tif,tif,
Figure 2.42,Figure,2,42,"Fig. 2.42. Gezer, Field VI, Northwest House in local Stratum 5C (based on Dever, Lance and Bullard 1986: Fig. 18). (d09Z3-1309)",d09Z3-1309,d09Z3-1309.tif,tif,
Figure 2.43,Figure,2,43,"Fig. 2.43. Tell Qasile, Building O in Stratum X (based on Mazar 1980: Fig. 16). (d09Z3-1310)",d09Z3-1310,d09Z3-1310.tif,tif,
Figure 2.44,Figure,2,44,"Fig. 2.44. Shechem, House B in Field VII, Stratum IX (based on Campbell 2002: Fig. 237). (d09Z3-1311)",d09Z3-1311,d09Z3-1311.tif,tif,
Figure 2.45,Figure,2,45,"Fig. 2.45. Phase 9, schematic plan. (d10Z1-1009)",d10Z1-1009,d10Z1-1009.tif,tif,
Figure 2.46,Figure,2,46,"Fig. 2.46. Area G destruction as first encountered in 1992, looking west. Center: narrow partition belonging to southeastern edge of trough-installation 9982, not yet fully exposed (=Fig. 9.41). (p08Z3-1004)",p08Z3-1004,p08Z3-1004.tif,tif,
Figure 2.47,Figure,2,47,"Fig. 2.47. View of eastern balk, AI/32, showing the depth of Phase 9 destruction debris; the arrow marks the top of the destruction material. Square supervisor Robyn Talman standing on courtyard floor (photograph courtesy of Andrew Stewart). (p08Z3-1440)",p08Z3-1440,p08Z3-1440.tif,tif,
Figure 2.48,Figure,2,48,"Fig. 2.48. In situ pottery near the trough-installation, looking west. Note basalt bowl, upper grinding stone (above meter stick) and “stone tripod” at bottom (=Fig. 9.47). (p09z3-6007)",p09z3-6007,p09z3-6007.tif,tif,
Figure 2.49,Figure,2,49,"Fig. 2.49. Jars in destruction on Phase 9 floor in Room 18033, looking west (=Fig. 8.29). (p08Z3-1459)",p08Z3-1459,p08Z3-1459.tif,tif,
Figure 2.50,Figure,2,50,"Fig. 2.50. F18239 under excavation, looking south. Note slope of surface, with in situ pottery and deer antler. (p08Z3-1007)",p08Z3-1007,p08Z3-1007.tif,tif,
Figure 2.51,Figure,2,51,"Fig. 2.51. Phytolith surface in Room 04G0-004, looking east. (p10Z3-0051)",p10Z3-0051,p10Z3-0051.tif,tif,
Figure 2.52,Figure,2,52,"Fig. 2.52. A single fish skeleton on F9661 of Phase 7, similar to those recovered from the floor of Phase 9 Room 18067 but which could not be photographed because of their fragmentary condition (photograph courtesy of Andrew Stewart). (p08Z3-1418)",p08Z3-1418,p08Z3-1418.tif,tif,
Figure 2.53,Figure,2,53,"Fig. 2.53. The “basin” in possible entryway in Room 9928,looking south (photograph courtesy of Andrew Stewart).(p09Z9-6009)",p09Z3-6009,p09Z3-6009.tif,tif,
Figure 2.54,Figure,2,54,"Fig. 2.54. An artist’s view of Phase 9, showing a suggestion of the rooms’ functions based on their contents when destroyed, looking north. Drawing: T. Kurz, based on an earlier drawing by V. Damov. (d09Z3-1288)",d09Z3-1288,d09Z3-1288.tif,tif,
Figure 2.55,Figure,2,55,"Fig. 2.55. Phase 8, schematic plan. (d09Z3-1313)",d09Z3-1313,d09Z3-1313.tif,tif,
Figure 2.56,Figure,2,56,"Fig. 2.56. Phase 7, schematic plan. (d09Z3-1314)",d09Z3-1314,d09Z3-1314.tif,tif,
Figure 2.57,Figure,2,57,"Fig. 2.57. Phase 7 Courtyard 9300, looking south. (p08Z3-1002)",p08Z3-1002,p08Z3-1002.tif,tif,
Figure 2.58,Figure,2,58,"Fig. 2.58. The skeleton of a woman in Room 9816, looking south, partly covered by fallen stones. (p08Z3-1013)",p08Z3-1013,p08Z3-1013.tif,tif,
Figure 2.59,Figure,2,59,"Fig. 2.59. Smashed pottery and rubble collapse on F9816, looking north (photograph courtesy of Andrew Stewart). (p10Z3-0059)",p10Z3-0059,p10Z3-0059.tif,tif,
Figure 2.60,Figure,2,60,"Fig. 2.60. Schematic plan, composite rooms of Phases 6a and 6b.(d09Z3-1315)",d09Z3-1315,d09Z3-1315.tif,tif,
Figure 2.61,Figure,2,61,"Fig. 2.61. Some of the large number of in situ vessels on F9657,looking north Fig. 7.10). (p08Z3-1140)",p08Z3-1140,p08Z3-1140.tif,tif,
Figure 2.62,Figure,2,62,"Fig. 2.62. Two ovens on F9657, looking west. Most of 9658 was excavated by the time 9880 was uncovered (=Fig. 7.13).(p08Z3-1061)",p08Z3-1061,p08Z3-1061.tif,tif,
Figure 2.63,Figure,2,63,"Fig. 2.63. Room 9679, with stone table and ashlar stones (maṣṣebot?), looking east. (p05Z3-0709)",p05Z3-0709,p05Z3-0709.tif,tif,
Figure 3.1,Figure,3,1,"Fig. 3.1. Area G at the end of the first season, looking south. Foreground: the mass of stones and cement (consisting of Walls 9003, 9009, 9015 and 9040) is probably a foundation for a colonnade on the northern side of the plaza (AJ/33). Background: Roman period pavement 9000 and drain (AJ–AI/31). The already deep probes (AJ/32–33, AI/31) are nearly at the top of Iron Age remains (photograph courtesy of Andrew Stewart). (p10Z3-0010) ",p10Z3-0010,p10Z3-0010.tif,tif,
Figure 3.2,Figure,3,2,"Fig. 3.2. An axonometric superposition of Phases 6–9, showing the continuity of wall sequences in the Area G house. (d10Z1-1011) ",d10Z1-1011,d10Z1-1011.tif,tif,
Figure 3.3,Figure,3,3,"Fig. 3.3. A schematic superposition plan of Phases 6–9, showing the basic analysis units (rooms) in Area G (=Fig. 2.1). (d09Z3-1287) ",d09Z3-1287,d09Z3-1287.tif,tif,
Figure 3.4,Figure,3,4,Fig. 3.4. Schematic plans of Phases 6–10 with “context” numbers. (d10Z1-1013) ,d10Z1-1013,d10Z1-1013.tif,tif,
Figure 3.5,Figure,3,5,"Fig. 3.5. The north colonnade of Area G, looking west. W9085 is the back wall of the colonnade and the double wall in the center is the sleeper wall for the colonnade, with W9015 belonging with the earlier stage (Phase 1b) and W9003 with the later stage (1a). Note also the drainage system which originally ran under the Phase 1 pavement (photograph courtesy of Andrew Stewart). (p10Z3-0011) ",p10Z3-0011,p10Z3-0011.tif,tif,
Figure 3.6,Figure,3,6,"Fig. 3.6. The southern balk of AJ/32, after winter collapse of a huge Phase 4 pit. Note the sequence of early walls and floors, with W9413 (Phase 7) ? F9920 (Phase 8) ? W18250 (Phase 9). The thick deposit below F9920 is burnt brick debris, marking the Phase 9 destruction layer. (p10Z3-0012) ",p10Z3-0012,p10Z3-0012.tif,tif,
Figure 3.7,Figure,3,7,"Fig. 3.7. W9243 (Phase 2) above W9147 (Phase 3), with top of W9243 incorporated into the Phase 1 pavement, looking southeast. Left: robber trench of W9003 (Phase 1 sleeper wall) which cuts both W9243 and W9147 (photograph courtesy of Andrew Stewart). (p10Z3-0013) ",p10Z3-0013,p10Z3-0013.tif,tif,
Figure 3.8,Figure,3,8,"Fig. 3.8. Right: Phase 2 W9019 (lower right) below the level of the Phase 1 pavement F9000 (left), looking southwest (photograph courtesy of Andrew Stewart). (p10Z3-1014) ",p10Z3-1014,p10Z3-1014.tif,tif,
Figure 3.9,Figure,3,9,"Fig. 3.9. The two main Phase 3 walls: front: W9147 (nicknamed “Pia’s wall”), back: W9510; left: Phase 1 (Roman) installation, looking northeast (photograph courtesy of Andrew Stewart). (p10Z3-1015) ",p10Z3-1015,p10Z3-1015.tif,tif,
Figure 3.10,Figure,3,10,Fig. 3.10. Persian jars in Pit 9049; note deposit of murex shells on upper right (photograph courtesy of Andrew Stewart). (p10Z3-1016) ,p10Z3-1016,p10Z3-1016.tif,tif,
Figure 3.11,Figure,3,11,"Fig. 3.11. A schematic 3D reconstruction of the northwestern corner of the courtyard and the walls surrounding it. Phase 6 — W9729; Phase 7 — W9262a–b, W9140(S), F9300; Phase 8 — W9262a-b, W18048, F18035; Phase 9 — W9262c–d, W18048, F18087; Phase 10 — W18229. (d10Z1-1014) ",d10Z1-1014,d10Z1-1014.tif,tif,
Figure 3.12,Figure,3,12,"Fig. 3.12. Schematic superposition of Phases 6–9, showing the northwestern corner of the courtyard, the central wall junction and the main wall sequences discussed in this chapter. (d10Z1-0015) ",d10Z1-0015,d10Z1-0015.tif,tif,
Figure 3.13,Figure,3,13,"Fig. 3.13. The central wall junction, looking east (AJ–AK/32– 33). (p08Z3-0100) ",p08Z3-0100,p08Z3-0100.tif,tif,
Figure 3.14,Figure,3,14,"Fig. 3.14. Schematic 3D reconstruction of the central wall junction, views from the southwest (top) and from the northeast (bottom). Phase 6 — W9065, W9066, W9140(S), W9140(N), W9729; Phase 7 — W9262a–b, W9140(S), W9140(N), W9400, W9914; Phase 8 — W9140(N), W9262a–b, W18048; Phase 9 — W9262c-d, W9915 (as a bench), W18048; Phase 10 — W9915, W18229. (d10Z1- 1016)",d10Z1-1016,d10Z1-1016.tif,tif,
Figure 3.15,Figure,3,15,"Fig. 3.15. W9140, looking south. Note different construction methods of the north and south sections and Phase 4 Pit 9168 separating them. The woman is standing on Phase 7 stone-paved F9300, next to W9140(S). (p10Z3-0060) ",p10Z3-0060,p10Z3-0060.tif,tif,
Figure 3.16,Figure,3,16,"Fig. 3.16. W9140(S) above W18048 (AJ/32), looking north. Note destruction debris with fallen bricks and roofing material in the probe east of W18048 (photo courtesy of Andrew Stewart). (p10Z3-0017) ",p10Z3-0017,p10Z3-0017.tif,tif,
Figure 3.17,Figure,3,17,"Fig. 3.17. W9140(S) above W18048 (AJ/32), looking west. The small rubble pile to the left of W9140(S) is part of sump L9048. (p05Z3-0661) ",p05Z3-0661,p05Z3-0661.tif,tif,
Figure 3.18,Figure,3,18,"Fig. 3.18. W9140(S) above W9915 and W9909 (AJ/32), looking east. (d05Z3-0662) ",d05Z3-0662,d05Z3-0662.tif,tif,
Figure 3.19,Figure,3,19,"Fig. 3.19. W9915 (the mudbrick step to the left of the sign), W9909 and W18048 after removal of W9140(S) (AJ/32), looking north. (d05Z3-0665) ",d05Z3-0665,d05Z3-0665.tif,tif,
Figure 3.20,Figure,3,20,"Fig. 3.20. Schematic section through the north–south wall sequence, looking north. (d10Z1-1017) ",d10Z1-1017,d10Z1-1017.tif,tif,
Figure 3.21,Figure,3,21,"Fig. 3.21. The relationship between W9140(N) and W9262 (stage d, lowermost stone socle in Phase 9) (AJ/33), looking north. (p06Z3-0005) ",p06Z3-0005,p06Z3-0005.tif,tif,
Figure 3.22,Figure,3,22,"Fig. 3.22. Upper right: large square boulders forming the base of W9140(N) built on top of the stone socle of W9915 (small fieldstones) (AJ/32–33), looking west. Note corner of W9140(N) with W9262d, abutted by W18048. Lower left: Phase 10 W18229a, below W18048. (d05Z3-0674) ",d05Z3-0674,d05Z3-0674.tif,tif,
Figure 3.23,Figure,3,23,"Fig. 3.23. W9279 on top of W9262a and the relation between W9262a–b and W9275, looking west. (p06Z3-0001) ",p06Z3-0001,p06Z3-0001.tif,tif,
Figure 3.24,Figure,3,24,"Fig. 3.24. W9262, looking north, with superimposed phases: a (mudbrick, deteriorated), b (rubble), c (mudbrick, deteriorated), d (rubble). Foreground: pavement F18087 (Phase 9) reaching W9262d. (p05Z3-0667) ",p05Z3-0667,p05Z3-0667.tif,tif,
Figure 3.25,Figure,3,25,"Fig. 3.25. Schematic 3D reconstruction of the western wall sequence. Left: superposition, looking northeast. Right: section view, looking east. W18912 is earlier (Phase 8). (d10Z1-1018) ",d10Z1-1018,d10Z1-1018.tif,tif,
Figure 3.26,Figure,3,26,"Fig. 3.26. The western wall sequence, looking north. Center: W9400 under W9066. Upper right: W9140(N). (p10Z3-0134) ",p10Z3-0134,p10Z3-0134.tif,tif,
Figure 3.27,Figure,3,27,"Fig. 3.27. The western wall sequence (AJ/33), looking south. On the right, W9914 under W9066, with W9140(N) on the left. The central junction is at top left. (p05Z3-0670) ",p05Z3-0670,p05Z3-0670.tif,tif,
Figure 3.28,Figure,3,28,"Fig. 3.28. A general view of Area G at the end of the 1993 season, looking east, showing the central wall junction and the relationships between many of the walls. (d10Z1-1019) ",d10Z1-1019,d10Z1-1019.tif,tif,
Figure 3.29,Figure,3,29,"Fig. 3.29. W9066 abutting W9140(N), looking east; note relationships between W9914 and W9211 (W9914 runs into a blocked doorway in W9211) and W9211 and W9140(N) (W9140 abuts W9211). (d05Z3-0671) ",d05Z3-0671,d05Z3-0671.tif,tif,
