column,Question #,Rename Column,count_not_blank,count_unique,max_word_count,mean_word_count,max_char_length,mean_char_length,Important for Analysis,Section,Sub-Section
"[Work] Government, Federal",QID7,"[Work] Government, Federal",693,3,2,1.090909091,19,2.705627706,,DEMOGRAPHICS,General
"[Work] Government, Local",QID7,"[Work] Government, Local",693,3,2,1.028860029,17,1.531024531,,DEMOGRAPHICS,General
"[Work] Government, State",QID7,"[Work] Government, State",693,3,2,1.098124098,17,2.639249639,,DEMOGRAPHICS,General
"[Work] Government, Tribal",QID7,"[Work] Government, Tribal",693,3,4,1.077922078,29,1.796536797,,DEMOGRAPHICS,General
[Work] Library: Academic,QID7,[Work] Library: Academic,693,3,2,1.036075036,17,1.646464646,,DEMOGRAPHICS,General
[Work] Library: Public,QID7,[Work] Library: Public,693,3,2,1.008658009,15,1.19047619,,DEMOGRAPHICS,General
[Work] Library: National,QID7,[Work] Library: National,693,3,2,1.005772006,17,1.161616162,,DEMOGRAPHICS,General
[Work] Library: Tribal,QID7,[Work] Library: Tribal,693,3,2,1.004329004,15,1.12987013,,DEMOGRAPHICS,General
[Work] Digital Library,QID7,[Work] Digital Library,693,3,2,1.012987013,15,1.251082251,,DEMOGRAPHICS,General
[Work] Publisher,QID7,[Work] Publisher,693,3,1,1,9,1.15007215,,DEMOGRAPHICS,General
[Work] Archive or Digital Repository,QID7,[Work] Archive or Digital Repository,693,3,4,1.12987013,29,2.281385281,,DEMOGRAPHICS,General
"[Work] Archive or Digital Repository, Tribal",QID7,"[Work] Archive or Digital Repository, Tribal",693,3,5,1.046176046,37,1.484848485,,DEMOGRAPHICS,General
[Work] NGO,QID7,[Work] NGO,693,3,2,1.037518038,29,2.11976912,,DEMOGRAPHICS,General
[Work] Museum: Private,QID7,[Work] Museum: Private,693,3,2,1.03030303,15,1.493506494,,DEMOGRAPHICS,General
[Work] Museum: Public,QID7,[Work] Museum: Public,693,3,2,1.077922078,23,2.783549784,,DEMOGRAPHICS,General
[Work] Museum: Tribal or similar,QID7,[Work] Museum: Tribal or similar,693,3,4,1.021645022,25,1.242424242,,DEMOGRAPHICS,General
[Work] University or College,QID7,[Work] University or College,693,3,4,1.831168831,31,9.380952381,,DEMOGRAPHICS,General
[Work] Community College,QID7,[Work] Community College,693,3,3,1.031746032,27,1.481962482,,DEMOGRAPHICS,General
[Work] Private Foundation,QID7,[Work] Private Foundation,693,3,2,1.023088023,18,1.461760462,,DEMOGRAPHICS,General
[Work] Student,QID7,[Work] Student,661,3,1,1,7,1.290468986,,DEMOGRAPHICS,General
[Work] Other,QID7,[Work] Other,693,3,1,1,5,1.421356421,,DEMOGRAPHICS,General
"[Work] Other, text",QID7,"[Work] Other, text",693,43,7,1.098124098,52,4.235209235,,DEMOGRAPHICS,General
[Experience] Collection,QID8,[Experience] Collection,693,3,1,1,10,8.360750361,,DEMOGRAPHICS,General
[Experience] Analysis,QID8,[Experience] Analysis,693,3,1,1,8,6.626262626,,DEMOGRAPHICS,General
[Experience] Curation,QID8,[Experience] Curation,693,3,1,1,8,5.333333333,,DEMOGRAPHICS,General
[Experience] Archiving,QID8,[Experience] Archiving,693,3,1,1,9,5.637806638,,DEMOGRAPHICS,General
[Experience] Dissemination,QID8,[Experience] Dissemination,693,3,1,1,13,8.148629149,,DEMOGRAPHICS,General
[Experience] Reuse,QID8,[Experience] Reuse,693,3,1,1,5,2.572871573,,DEMOGRAPHICS,General
[Experience] Management,QID8,[Experience] Management,693,3,1,1,10,6.893217893,,DEMOGRAPHICS,General
[Work Region] Africa,QID9,[Work Region] Africa,693,3,3,1.080808081,23,2.007215007,,DEMOGRAPHICS,General
[Work Region] Asia,QID9,[Work Region] Asia,693,3,3,1.155844156,21,2.676767677,,DEMOGRAPHICS,General
[Work Region] Australia and New Zealand,QID9,[Work Region] Australia and New Zealand,693,3,4,1.121212121,25,2.088023088,,DEMOGRAPHICS,General
[Work Region] Caribbean,QID9,[Work Region] Caribbean,693,3,1,1,9,1.314574315,,DEMOGRAPHICS,General
[Work Region] Central America,QID9,[Work Region] Central America,693,3,2,1.063492063,15,2.007215007,,DEMOGRAPHICS,General
[Work Region] Europe,QID9,[Work Region] Europe,693,3,3,1.213564214,23,3.467532468,,DEMOGRAPHICS,General
[Work Region] Mediterranean,QID9,[Work Region] Mediterranean,693,3,1,1,13,1.862914863,,DEMOGRAPHICS,General
[Work Region] Multi-regional,QID9,[Work Region] Multi-regional,693,3,1,1,26,2.164502165,,DEMOGRAPHICS,General
[Work Region] North America,QID9,[Work Region] North America,693,3,4,2.930735931,30,19.78210678,,DEMOGRAPHICS,General
[Work Region] Pacific Islands,QID9,[Work Region] Pacific Islands,693,3,4,1.134199134,26,2.236652237,,DEMOGRAPHICS,General
[Work Region] South America,QID9,[Work Region] South America,693,3,4,1.112554113,30,2.206349206,,DEMOGRAPHICS,General
[Work Region] Other,QID9,[Work Region] Other,693,3,1,1,5,1.222222222,,DEMOGRAPHICS,General
"[Work Region] Africa, text",QID9,"[Work Region] Africa, text",693,19,3,1.021645022,23,3.251082251,,DEMOGRAPHICS,General
"[Work Region] Asia, text",QID9,"[Work Region] Asia, text",693,44,8,1.060606061,38,3.649350649,,DEMOGRAPHICS,General
"[Work Region] Europe, text",QID9,"[Work Region] Europe, text",693,47,3,1.033189033,24,3.473304473,,DEMOGRAPHICS,General
"[Work Region] North America, text",QID9,"[Work Region] North America, text",693,217,9,1.424242424,61,8.701298701,,DEMOGRAPHICS,General
"[Work Region] South America, text",QID9,"[Work Region] South America, text",693,12,3,1.004329004,22,3.138528139,,DEMOGRAPHICS,General
"[Work Region] Other, text",QID9,"[Work Region] Other, text",693,15,11,1.046176046,79,3.461760462,,DEMOGRAPHICS,General
[RESPONDANT TYPE] Individual or Org,QID10,[RESPONDANT TYPE] Individual or Org,674,3,20,6.694362018,138,48.01928783,Yes,DEMOGRAPHICS,General
[RESPONDANT TYPE] Org type and size,QID10,[RESPONDANT TYPE] Org type and size,674,154,9,1.434718101,61,6.65578635,,DEMOGRAPHICS,General
[DATA ROLE] Create data,1,[DATA ROLE] Create data,508,3,2,1.767716535,11,8.716535433,,FAIR,Findable
[DATA ROLE] Use data others created,1,[DATA ROLE] Use data others created,508,3,5,3.929133858,28,20.81102362,,FAIR,Findable
[DATA ROLE] Manage my own data,1,[DATA ROLE] Manage my own data,508,3,4,3.285433071,18,13.99015748,,FAIR,Findable
[DATA ROLE] Manage data created by others,1,[DATA ROLE] Manage data created by others,508,3,5,3.433070866,29,18.07086614,,FAIR,Findable
[DATA ROLE] Create data policies,1,[DATA ROLE] Create data policies,508,3,3,1.751968504,20,8.183070866,,FAIR,Findable
[DATA ROLE] Other,1,[DATA ROLE] Other,508,3,2,1.035433071,15,1.535433071,,FAIR,Findable
"[DATA ROLE] Other, text",1,"[DATA ROLE] Other, text",508,17,36,1.362204724,199,5.466535433,,FAIR,Findable
How are your digital data organized? (select all that apply) - Proprietary Database (e.g. MSAccess),2,[ORGANIZED] Proprietary DB,398,5,3,1.726130653,10,6.213567839,,FAIR,Findable
"How are your digital data organized? (select all that apply) - Collections Management Database (Rediscovery, EMU)",2,[ORGANIZED] CM DB,321,5,3,1.492211838,10,5.193146417,,FAIR,Findable
"How are your digital data organized? (select all that apply) - Open Source Database (MySQL, PostgresSQL)",2,[ORGANIZED] Open DB,333,5,3,1.453453453,10,5.129129129,,FAIR,Findable
"How are your digital data organized? (select all that apply) - Spreadsheets (Google, Excel)",2,[ORGANIZED] Spreadsheet,489,5,3,1.550102249,10,6.028629857,,FAIR,Findable
"How are your digital data organized? (select all that apply) - Geographic Information System (ESRI, QGIS)",2,[ORGANIZED] GIS,455,5,3,1.635164835,10,6.171428571,,FAIR,Findable
How are your digital data organized? (select all that apply) - Word Document/PDF Report,2,[ORGANIZED] Word or PDF,487,5,3,1.396303901,10,5.482546201,,FAIR,Findable
How are your digital data organized? (select all that apply) - Image files organized in directories,2,[ORGANIZED] Images in folders,461,5,3,1.399132321,10,5.422993492,,FAIR,Findable
"How are your digital data organized? (select all that apply) - Web content management system (WordPress, Omeka, Drupal)",2,[ORGANIZED] Web CMS,331,5,3,1.555891239,10,5.447129909,,FAIR,Findable
How are your digital data organized? (select all that apply) - Other (explain),2,[ORGANIZED] Other,438,5,3,1.109589041,10,3.5,,FAIR,Findable
How are your digital data organized? (select all that apply) - Other (explain) - Text,2,[ORGANIZED] Other- text,506,27,220,1.630434783,1432,7.330039526,,FAIR,Findable
Where do you store your final digital files after the completion of a project? (select all that apply) - Selected Choice - Personal or work computer,3,[STORE] Own computer,508,3,4,2.736220472,25,14.94488189,,FAIR,Findable
Where do you store your final digital files after the completion of a project? (select all that apply) - Selected Choice - Institutional or company server,3,[STORE] Institutional server,508,3,4,2.92519685,31,20.30708661,,FAIR,Findable
"Where do you store your final digital files after the completion of a project? (select all that apply) - Selected Choice - External media (e.g. CDs, flash drives, external hard drives)",3,[STORE] External drives,508,3,9,4.401574803,61,26.56692913,,FAIR,Findable
"Where do you store your final digital files after the completion of a project? (select all that apply) - Selected Choice - External digital repository (e.g. university repository, disciplinary repository, general repository like Zenodo or Dryad)",3,[STORE] External digital repository,508,3,14,4.736220472,122,35.83070866,,FAIR,Findable
Where do you store your final digital files after the completion of a project? (select all that apply) - Selected Choice - Internal digital repository,3,[STORE] Internal digital repository,508,3,3,1.318897638,27,5.200787402,,FAIR,Findable
"Where do you store your final digital files after the completion of a project? (select all that apply) - Selected Choice - Cloud storage (e.g. Dropbox, Google Drive)",3,[STORE] Cloud,508,3,6,3.204724409,42,19.13385827,,FAIR,Findable
Where do you store your final digital files after the completion of a project? (select all that apply) - Selected Choice - Publicly Accessible Website,3,[STORE] Public website,508,3,3,1.350393701,27,5.61023622,,FAIR,Findable
Where do you store your final digital files after the completion of a project? (select all that apply) - Selected Choice - Password Protected Website,3,[STORE] Password website,508,3,3,1.263779528,26,4.352362205,,FAIR,Findable
"Where do you store your final digital files after the completion of a project? (select all that apply) - Selected Choice - Web-based platform (e.g. GitHub, OSF)",3,[STORE] Web platform GitHub,508,3,5,1.346456693,37,4.173228346,,FAIR,Findable
Where do you store your final digital files after the completion of a project? (select all that apply) - Selected Choice - Other or additional details:,3,[STORE] Other,508,3,4,1.12992126,28,2.224409449,,FAIR,Findable
Where do you store your final digital files after the completion of a project? (select all that apply) - Other or additional details: - Text,3,[STORE] Other - text,508,23,84,1.549212598,470,6.49015748,,FAIR,Findable
Are data from past investigations conducted by you or your organization findable by others? - Selected Choice,4,[FINDABLE] Yes,508,4,3,2.332677165,19,13.54724409,,FAIR,Findable
Are data from past investigations conducted by you or your organization findable by others? - Yes (by whom?) - Text,4,[FINDABLE] No,508,211,56,4.179133858,357,25.77755906,,FAIR,Findable
Are data from past investigations conducted by you or your organization findable by others? - No (explain) - Text,4,[FINDABLE] Sometimes,507,63,65,2.420118343,356,11.57593688,,FAIR,Findable
Are data from past investigations conducted by you or your organization findable by others? - Sometimes (explain) - Text,4,[FINDABLE] Sometimes - explanation,508,123,113,6.561023622,645,37.54724409,,FAIR,Findable
"What types of identifiers do you use, or are assigned on your behalf, to name datasets and/or data records that are shared and referenced by multiple people? (select all that apply) - Selected Choice - Globally unique, citable, and persistent identifiers (e.g. DOI, PURL, ARK or Handle) minted by a repository or digital library service provider",5,[IDENTIFIERS] Unique PIDs,508,3,21,6.275590551,143,38.57086614,,FAIR,Findable
"What types of identifiers do you use, or are assigned on your behalf, to name datasets and/or data records that are shared and referenced by multiple people? (select all that apply) - Selected Choice - Web Address (URL)",5,[IDENTIFIERS] Web URLs,508,3,3,1.456692913,17,4.767716535,,FAIR,Findable
"What types of identifiers do you use, or are assigned on your behalf, to name datasets and/or data records that are shared and referenced by multiple people? (select all that apply) - Selected Choice - Local Identifier (an internal or project-specific identifier, e.g., an accession number)",5,[IDENTIFIERS] Local IDs,508,3,11,6.551181102,88,49.40944882,,FAIR,Findable
"What types of identifiers do you use, or are assigned on your behalf, to name datasets and/or data records that are shared and referenced by multiple people? (select all that apply) - Selected Choice - None",5,[IDENTIFIERS] None,457,2,1,1,5,3.126914661,,FAIR,Findable
"What types of identifiers do you use, or are assigned on your behalf, to name datasets and/or data records that are shared and referenced by multiple people? (select all that apply) - Selected Choice - Unsure",5,[IDENTIFIERS] Unsure,508,3,1,1,6,1.714566929,,FAIR,Findable
"What types of identifiers do you use, or are assigned on your behalf, to name datasets and/or data records that are shared and referenced by multiple people? (select all that apply) - Selected Choice - Other or additional details:",5,[IDENTIFIERS] Other,508,3,4,1.200787402,28,2.921259843,,FAIR,Findable
"What types of identifiers do you use, or are assigned on your behalf, to name datasets and/or data records that are shared and referenced by multiple people? (select all that apply) - Other or additional details: - Text",5,[IDENTIFIERS] Other - text,508,35,137,2.147637795,903,10.46850394,,FAIR,Findable
Do you / your organization create or use metadata (documentation about how your data are organized) in your work?,6,[CREATE METADATA],508,4,1,1,6,3.244094488,,FAIR,Findable
"If you create metadata, is it publicly searchable through a separate interface (e.g., a search bar on a website)? - Selected Choice - No",7,[SEARCHABLE METADATA] No,508,3,1,1,3,1.99015748,,FAIR,Findable
"If you create metadata, is it publicly searchable through a separate interface (e.g., a search bar on a website)? - Selected Choice - Yes, and here are some examples (e.g. Google, institutional repository):",7,[SEARCHABLE METADATA] Yes,508,3,10,3.232283465,72,19.04330709,,FAIR,Findable
"If you create metadata, is it publicly searchable through a separate interface (e.g., a search bar on a website)? - Yes, and here are some examples (e.g. Google, institutional repository): - Text",7,[SEARCHABLE METADATA] Yes - text,508,67,33,1.864173228,407,11.34448819,,FAIR,Findable
"Are supplemental data/resources associated with your publications or reports (e.g. data sets, image archives, databases, software, code, etc.) publicly shared? - Selected Choice - No",8,[SUPPLEMENTAL DATA] No,508,3,1,1,3,1.442913386,,FAIR,Findable
"Are supplemental data/resources associated with your publications or reports (e.g. data sets, image archives, databases, software, code, etc.) publicly shared? - Selected Choice - Unsure",8,[SUPPLEMENTAL DATA] Unsure,508,3,1,1,6,1.645669291,,FAIR,Findable
"Are supplemental data/resources associated with your publications or reports (e.g. data sets, image archives, databases, software, code, etc.) publicly shared? - Selected Choice - Yes, on your own platform/website",8,[SUPPLEMENTAL DATA] On own platform,508,3,5,1.692913386,33,6.657480315,,FAIR,Findable
"Are supplemental data/resources associated with your publications or reports (e.g. data sets, image archives, databases, software, code, etc.) publicly shared? - Selected Choice - Yes, on institutionâ€™s website (e.g, if you are a university press or society publisher)",8,[SUPPLEMENTAL DATA] On institution website,508,3,14,3.37992126,89,17.22440945,,FAIR,Findable
"Are supplemental data/resources associated with your publications or reports (e.g. data sets, image archives, databases, software, code, etc.) publicly shared? - Selected Choice - Yes, on a third-party repository such as Open Context, tDAR, or the Archaeology Data Service",8,[SUPPLEMENTAL DATA] On thrid-party repository,508,3,15,3.921259843,92,20.1023622,,FAIR,Findable
"Are supplemental data/resources associated with your publications or reports (e.g. data sets, image archives, databases, software, code, etc.) publicly shared? - Selected Choice - Yes, as supplemental Information hosted by a publisher",8,[SUPPLEMENTAL DATA] As supp info with publisher,508,3,8,2.12992126,54,9.669291339,,FAIR,Findable
"Are supplemental data/resources associated with your publications or reports (e.g. data sets, image archives, databases, software, code, etc.) publicly shared? - Selected Choice - Other",8,[SUPPLEMENTAL DATA] Other,508,3,1,1,5,1.531496063,,FAIR,Findable
"Are supplemental data/resources associated with your publications or reports (e.g. data sets, image archives, databases, software, code, etc.) publicly shared? - Other - Text",8,[SUPPLEMENTAL DATA] Other - text,508,53,120,2.295275591,787,11.60433071,,FAIR,Findable
"If there is a cost associated with making the supplemental data/resources tied to your publications available, who covers the cost? - Selected Choice - Funding institution / agency / client",9,"[COST PAID] Funder, client",508,3,6,2.525590551,37,12.35433071,,FAIR,Findable
"If there is a cost associated with making the supplemental data/resources tied to your publications available, who covers the cost? - Selected Choice - The author(s) or their institutions",9,[COST PAID] Author institution,508,3,5,1.842519685,35,8.531496063,,FAIR,Findable
"If there is a cost associated with making the supplemental data/resources tied to your publications available, who covers the cost? - Selected Choice - The publisher",9,[COST PAID] Publisher,508,3,2,1.072834646,13,2.244094488,,FAIR,Findable
"If there is a cost associated with making the supplemental data/resources tied to your publications available, who covers the cost? - Selected Choice - Cost is shared between the author and publisher",9,[COST PAID] Author and publisher,508,3,8,1.303149606,47,3.362204724,,FAIR,Findable
"If there is a cost associated with making the supplemental data/resources tied to your publications available, who covers the cost? - Selected Choice - There is no cost",9,[COST PAID] No cost,508,3,4,1.903543307,16,5.887795276,,FAIR,Findable
"If there is a cost associated with making the supplemental data/resources tied to your publications available, who covers the cost? - Selected Choice - Other or additional information:",9,[COST PAID] Other,508,3,4,1.289370079,32,4.36023622,,FAIR,Findable
"If there is a cost associated with making the supplemental data/resources tied to your publications available, who covers the cost? - Other or additional information: - Text",9,[COST PAID] Other - text,507,45,86,2.106508876,464,9.84418146,,FAIR,Findable
How accessible are the data in your possession to others? (select all that apply) - Selected Choice - Publicly accessible (e.g. viewing and download via website/portal?),10,[ACCESSIBLE] Public portal,470,3,8,3.144680851,67,21.27234043,,FAIR,Accessible
How accessible are the data in your possession to others? (select all that apply) - Selected Choice - Discoverable through a publicly searchable resource (like Google),10,[ACCESSIBLE] Google search,470,3,8,2.638297872,65,16.02978723,,FAIR,Accessible
"How accessible are the data in your possession to others? (select all that apply) - Selected Choice - Fully accessible to persons who meet explicitly stated conditions (e.g., SOI-qualified archaeologist, ethics approval for sensitive data from â€œapprovedâ€ users)",10,[ACCESSIBLE] To qualified people,470,3,20,8.882978723,163,68.26382979,,FAIR,Accessible
How accessible are the data in your possession to others? (select all that apply) - Selected Choice - A de-identified / modified subset of the data is publicly accessible,10,[ACCESSIBLE] Modified data available,470,3,11,1.978723404,68,7.608510638,,FAIR,Accessible
How accessible are the data in your possession to others? (select all that apply) - Selected Choice - Delayed (embargoed) access after a specified date,10,[ACCESSIBLE] Embargoed,470,3,7,1.370212766,49,4.012765957,,FAIR,Accessible
How accessible are the data in your possession to others? (select all that apply) - Selected Choice - Contact the data custodian for access,10,[ACCESSIBLE] Contact custodian,470,3,6,2.893617021,37,14.68510638,,FAIR,Accessible
How accessible are the data in your possession to others? (select all that apply) - Selected Choice - Access to metadata only,10,[ACCESSIBLE] Metadata only,470,3,4,1.140425532,23,2.080851064,,FAIR,Accessible
How accessible are the data in your possession to others? (select all that apply) - Selected Choice - Password-protected access,10,[ACCESSIBLE] Password protected,470,3,2,1.165957447,25,5.034042553,,FAIR,Accessible
How accessible are the data in your possession to others? (select all that apply) - Selected Choice - No access,10,[ACCESSIBLE] No access,470,3,2,1.157446809,9,2.310638298,,FAIR,Accessible
How accessible are the data in your possession to others? (select all that apply) - Selected Choice - Additional information:,10,[ACCESSIBLE] Additional info,470,3,2,1.117021277,23,3.625531915,,FAIR,Accessible
How accessible are the data in your possession to others? (select all that apply) - Additional information: - Text,10,[ACCESSIBLE] Additional info - text,470,56,350,3.878723404,2076,20.7,,FAIR,Accessible
"Why do you acquire data? (select all that apply) - Selected Choice - Compliance with Federal or national laws or regulations (e.g., NHPA, ARPA)",11,[WHY ACAUIRE] Federal compliance,470,3,11,6.14893617,74,38.66382979,,FAIR,Accessible
"Why do you acquire data? (select all that apply) - Selected Choice - Compliance with sub-national (e.g., State, local laws, or planning requirements)",11,"[WHY ACAUIRE] State, local compliance",470,3,10,5.155319149,80,37.55106383,,FAIR,Accessible
"Why do you acquire data? (select all that apply) - Selected Choice - Repatriation process (e.g., NAGPRA or similar)",11,"[WHY ACAUIRE] Repatriation, NAGPRA",470,3,6,2.425531915,47,14.19148936,,FAIR,Accessible
"Why do you acquire data? (select all that apply) - Selected Choice - Tribal, First Nation or similar laws",11,[WHY ACAUIRE] Tribal laws,470,3,6,1.723404255,36,6.140425532,,FAIR,Accessible
Why do you acquire data? (select all that apply) - Selected Choice - United Nations Declaration on the Rights of Indigenous Peoples or other international instrument,11,[WHY ACAUIRE] UNDRIP or international,470,3,13,1.714893617,96,6.736170213,,FAIR,Accessible
Why do you acquire data? (select all that apply) - Selected Choice - Academic research (unfunded),11,[WHY ACAUIRE] Academic research,470,3,3,2.072340426,28,15.55319149,,FAIR,Accessible
Why do you acquire data? (select all that apply) - Selected Choice - Grant-funded research,11,[WHY ACAUIRE] Grant research,470,3,2,1.417021277,21,9.417021277,,FAIR,Accessible
Why do you acquire data? (select all that apply) - Selected Choice - Mitigation of impacts,11,[WHY ACAUIRE] Mitigation,470,3,3,1.578723404,21,6.863829787,,FAIR,Accessible
Why do you acquire data? (select all that apply) - Selected Choice - Other (fill in),11,[WHY ACAUIRE] Other,470,3,3,1.178723404,15,2.327659574,,FAIR,Accessible
Why do you acquire data? (select all that apply) - Other (fill in) - Text,11,[WHY ACAUIRE] Other - text,470,41,83,1.985106383,557,9.79787234,,FAIR,Accessible
"How do you acquire data? (select all that apply) - Field investigation (e.g. survey, excavation, geophysical, remote detection, etc.)",12,[HOW ACAUIRE] Field investigation,470,7,1,1,5,3.204255319,,FAIR,Accessible
"How do you acquire data? (select all that apply) - Existing collections or repositories (e.g. private, museum, university, archives, libraries, etc.)",12,[HOW ACAUIRE] Existing collections,470,7,1,1,5,3.182978723,,FAIR,Accessible
"How do you acquire data? (select all that apply) - Oral history interviews, or ethnographic/participant observation",12,[HOW ACAUIRE] Ethnographic,470,7,1,1,5,3.493617021,,FAIR,Accessible
"How do you acquire data? (select all that apply) - Samples and specialized laboratory techniques (e.g. isotropic, biomolecular, geochemical, petrography, radiocarbon, etc.)",12,[HOW ACAUIRE] Lab techniques,470,7,1,1,5,3.506382979,,FAIR,Accessible
"How do you acquire data? (select all that apply) - â€˜Grey literatureâ€™ and/or published reports and published datasets (e.g. CRM reports, site inventories, journal articles, monographs, book chapters, etc.)",12,[HOW ACAUIRE] Grey literature,470,7,1,1,5,3.238297872,,FAIR,Accessible
"How do you acquire data? (select all that apply) - Digital repositories (DAACS, tDAR, ADS, Open Context) or other online data (websites)",12,[HOW ACAUIRE] Digital repositories or websites,470,7,1,1,5,3.612765957,,FAIR,Accessible
How do you acquire data? (select all that apply) - Other - please explain,12,[HOW ACAUIRE] Other,470,7,1,1,5,4.74893617,,FAIR,Accessible
How do you acquire data? (select all that apply) - Other - please explain - Text,12,[HOW ACAUIRE] Other - text,470,28,75,1.506382979,457,6.489361702,,FAIR,Accessible
How do you attribute otherâ€™s data that you use in your work? (select all that apply) - Adding hyperlinks (to web URLs or persistent identifiers),13,[ATTRIBUTE OTHERS] Hyperlinks,470,3,8,4.321276596,57,27.67234043,,FAIR,Accessible
How do you attribute otherâ€™s data that you use in your work? (select all that apply) - In-text citation and citation in the bibliography,13,[ATTRIBUTE OTHERS] Citation in biblio,470,3,7,6.080851064,49,41.74893617,,FAIR,Accessible
How do you attribute otherâ€™s data that you use in your work? (select all that apply) - â€œPers commâ€ or mention in the acknowledgments,13,[ATTRIBUTE OTHERS] Pers comm,470,3,7,3.4,49,20.30212766,,FAIR,Accessible
How do you attribute otherâ€™s data that you use in your work? (select all that apply) - I donâ€™t attribute data,13,[ATTRIBUTE OTHERS] Don't attribute,470,3,4,1.134042553,24,2.129787234,,FAIR,Accessible
How do you attribute otherâ€™s data that you use in your work? (select all that apply) - I donâ€™t know how to attribute data,13,[ATTRIBUTE OTHERS] Don't know how,470,3,7,1.076595745,36,1.54893617,,FAIR,Accessible
Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Selected Choice - Unclear Instructions: Received data with little or no instructions on how to use or understand it.,14,[CANT UNDERSTAND] Unclear instructions,461,3,16,6.856832972,98,39.09978308,,FAIR,Interoperable
Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Selected Choice - Confusing Terms: Encountered data with lots of specialized words or shorthand that weren't explained.,14,[CANT UNDERSTAND] Confusing terms,461,3,14,5.878524946,101,38.7527115,,FAIR,Interoperable
Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Selected Choice - Mismatched Formats: Dealt with data where the information didn't look the way you expected (like dates or numbers that were formatted differently).,14,[CANT UNDERSTAND] Mismatched formats,461,3,22,9.472885033,147,60.13232104,,FAIR,Interoperable
"Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Selected Choice - Missing Information: Handled data that was missing parts, with no explanation of what was missing or why.",14,[CANT UNDERSTAND] Missing info,461,3,17,9.329718004,105,55.36876356,,FAIR,Interoperable
Have you ever received/worked with a dataset you havenâ€™t been able to understand? Please select all that apply and/or explain. - Selected Choice - Too Much Information: Faced with data that had so many details or types of information that it was hard to figure out what was important.,14,[CANT UNDERSTAND] Too much info,461,3,25,7.299349241,137,36.92190889,,FAIR,Interoperable
